de,plx,ra,vmag,absmag
-16.23537322,1.11,108.9844882,6.87,27.09661480767283
-44.10987569,2.54,119.32679394,5.08,27.104168474278993
-1.90530704,2.0,112.32781398,5.6,27.105149883061046
-15.78821451,2.65,123.33322933,4.99,27.106229219030464
-19.70235325,1.92,114.17099481,5.69,27.106506152315113
53.1525995,1.25,355.77359022,6.63,27.11455017965492
-9.87473901,1.59,95.89966506,6.11,27.116985800838584
-44.73733165,1.46,127.66349041,6.3,27.121764526542144
37.69366311,1.21,3.20935172,6.71,27.12392695836744
-54.87731436,2.04,156.70389571,5.58,27.12815072033655
-7.03305042,4.72,97.20447548,3.76,27.129709887155748
41.44165308,1.6,75.82765661,6.11,27.130600079287206
-14.49277322,1.97,114.01623979,5.66,27.13233100986651
5.09234249,2.69,136.49324097,4.99,27.138761217401502
-45.26604229,2.63,121.66809949,5.04,27.13977879887309
1.71403506,3.42,74.63709525,4.47,27.140130368977395
50.51254151,2.94,10.51618425,4.8,27.141736885132314
-3.69011692,2.71,25.68132047,4.98,27.1448465040921
-36.34016723,1.21,110.83167331,6.74,27.153926691338633
-59.91809443,1.65,153.25485242,6.07,27.157419861485586
-5.77495377,1.72,111.46334907,5.98,27.157642289857435
55.84035364,1.32,359.23180785,6.56,27.162869685259853
47.16400397,1.67,44.13876856,6.05,27.163582490800717
57.05524766,1.37,34.21548842,6.48,27.16360286257197
-42.08979986,1.71,132.58758781,6.0,27.164980600529333
67.92595909,1.12,8.90488601,6.92,27.166090199083722
-38.51115599,2.63,116.85416576,5.07,27.169779008681438
63.78117106,-1.15,12.85804247,6.87,27.173489042496886
9.89576021,3.19,100.24442101,4.66,27.17895330171676
0.12796928,1.33,97.21815993,6.56,27.179258217845522
-32.30637997,2.52,86.49955386,5.18,27.187002515896978
-30.94899076,2.06,101.37996161,5.62,27.18933592719344
-31.92379021,2.28,110.75292901,5.4,27.18967430321655
-13.04836725,2.07,67.27885535,5.61,27.18985179087422
-36.99068388,1.97,99.30767433,5.72,27.19233095264605
-19.78541168,1.31,95.94857097,6.61,27.196356517109635
-26.58587077,2.41,109.71366298,5.29,27.200085252153144
31.04584808,1.21,58.84616124,6.79,27.203926882073496
23.74091563,1.56,94.24460603,6.24,27.205622683380533
64.58599618,2.61,51.16900549,5.13,27.213202563937156
8.78104205,1.33,28.59226605,6.6,27.21925817969855
-54.19776193,1.37,166.01215858,6.54,27.22360280535151
-6.55028276,2.71,92.96590078,5.06,27.224846427798155
-34.34506641,1.72,80.32025164,6.05,27.227642461518812
-57.23666007,22.68,24.42813204,0.45,27.22821526841172
1.84644611,2.94,81.18677704,4.89,27.231736560883046
38.07951302,1.19,46.03918193,6.86,27.237735045073524
50.86582442,1.35,64.30128579,6.59,27.241669033573352
-51.81126187,3.01,152.23439032,4.85,27.242832375793938
45.93675346,3.88,89.98375587,4.3,27.24415888280962
28.2734583,1.14,77.14724348,6.96,27.244524267771425
-27.21074737,1.39,84.52877805,6.53,27.245074188887447
1.00207185,1.65,102.26523768,6.16,27.24741953723632
-28.41095714,3.34,115.88498187,4.63,27.248732392761664
